Org name,Most recent year,Description,,,Employees,Volunteers,,Previous year grants,Current year grants,Current year service rev,Previous year service,,PY other rev,CY other rev,PY total,CY total,,,,,,,,,,,,,,,,,,Net assets beginning of year,Net assets end of year
AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
Field of Dreams,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39398,42314
Friends of Kenilworth Aquatic Gardens,2018,"FKAG was established to connect people to the park through volunteer service, education and recreation. FKAG encourages public discovery of the park through community events, volunteer activties, and educational programs for youth. FKAG also",9,9,2,250,0,77355,72377,147691,,0,486,616,77841,220684,,0,0,,68054,0,4386,,158155,,226209,77841,-5525,56940,81057,3821,32671,53119,48386
Growing Together,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19206,11667
KSS,2018,"TO BUILD A SUSTAINABLE, GEOGRAPHICALLY DISTRIBUTED DARK ARCHIVE WITH WHICH TO ENSURE THE LONG-TERM SURVIVAL OF WEB-BASED SCHOLARLY PUBLICATIONS FOR THE BENEFIT OF THE GREATER GLOBAL RESEARCH COMMUNITY.",22,22,0,,0,1012800,1059013,575021,12541,11035,,0,1259927,1645069,,0,0,157644,0,0,2994,917179,1418755,1074823,1418755,185104,226314,729893,762700,270387,85516,459506,677184
National Center for Children and Families,2018,"See Schedule OTHE ORGANIZATION IS COMMITTED TO SERVING VULNERABLE CHILDREN, YOUTH AND FAMILIES IN THE NATIONAL CAPITAL AREA.",20,20,224,2607,0,5415698,5852705,17398633,23424,83362,411974,95727,26560421,23430427,0,0,0,11915933,12017848,0,596420,14622669,11788021,26538602,23805869,21819,-375442,19101596,19287908,9098010,9682363,10003586,9605545
Split This Rock,2018,Split this Rock calls poets to a greater role in public life and fosters a national network of socially engaged poets.,8,8,6,70,0,289374,297345,52975,99,42,0,0,362723,350362,0,0,0,191709,202100,0,23249,244137,156119,435846,358219,-73123,-7857,23612,16335,75,655,23537,15680
Musicianship,2018,"The MusicianShips mission is to change lives by facilitating music lessons, experiences, and opportunities for people who need us most.",9,9,1,,0,202114,220686,3137,,0,,0,208756,223823,,0,0,25431,36006,0,24654,146627,191048,172058,227054,36698,-3231,54750,57723,7614,13818,47136,43905
Urban Alliance Foundation,2018,"TO EMPOWER UNDER-RESOURCED YOUTH TO ASPIRE, AND SUCCEED THROUGH PAID INTERNSHIPS, AND MENTORSHIP.",18,17,1001,22,0,6660376,4398470,3430446,27999,29677,929,2428,7431729,7861021,41387,36806,0,3058187,3322548,0,600361,3027751,3209296,6127325,6568650,1304404,1292371,5836334,7014059,904886,761853,4931448,6252206
Atlas Performing Arts Center,2018,"SEE PART III, LINE 1.",21,20,48,65,6218,1180982,1311424,958114,1663,-5152,771222,735393,2788356,2999779,0,0,0,998371,1263984,0,219675,2103461,2071237,3101832,3335221,-313476,-335442,17176888,16696817,7191437,7021168,9985451,9675649
Community Services Foundation,2018,"RICHMOND COMMUNITY SERVICES, FOUNDATION, INC. PROMOTES AND SUPPORTS MISSIONS OF ITS AFFILIATED ORGANIZATION, RICHMOND CHILDREN'S CENTER, INC. (D/B/A RICHMOND COMMUNITY SERVICES).",6,6,0,46,0,197860,223671,0,71065,23133,0,0,268925,246804,81320,145774,0,0,0,0,112140,113090,138704,194410,284478,74515,-37674,1118618,1289228,823154,990101,295464,299127
Techbridge,2018,TO HELP NONPROFITS USE TECHNOLOGY TO INCREASE CAPACITY TO SERVE OUR COMMUNITY,28,28,32,220,0,1783530,1581255,2280854,1303,1449,-168620,-243733,3145076,3619825,0,0,0,2006446,2411429,0,509304,1005971,1157213,3012417,3568642,132659,51183,1383679,1466959,206888,232668,1176791,1234291
Hillside Work Scholarship Connection,2018,YOUTH ADVOCACY FOR MIDDLE AND HIGH SCHOOL STUDENTS TO INCREASE GRADUATION RATES,7,6,281,9,0,8025796,7116574,9998732,0,0,1300,0,16478210,17115306,0,0,0,10407233,11000767,0,0,6433778,6547610,16841011,17548377,-362801,-433071,11982553,13553489,807100,2706207,11175453,10847282
After-School All-Stars,2017,PROVIDING QUALITY AFTER-SCHOOL PROGRAMMING FOR AT-RISK MIDDLE SCHOOL YOUTH IN HAWAII'S PUBLIC MIDDLE SCHOOLS,11,10,156,199,0,1641054,1243121,0,0,0,107888,85034,1748942,1328155,0,0,0,1118164,1236739,0,131350,275335,394022,1393499,1630761,355443,-302606,1654883,1375559,71419,94701,1583464,1280858
United Planning Organization,2017,"UNITED PLANNING ORGANIZATION'S MISSION IS TO PLAN, COORDINATE & IMPLEMENT HUMAN SERVICES.",17,17,398,728,0,30434931,30232380,94295,5461,9140,85958,55257,30566184,30391072,4151658,3631158,0,18041135,18126012,0,0,8194757,8438434,30387550,30195604,178634,195468,17423392,16530554,13112445,11987890,4310947,4542664
Nationals Youth Baseball Academy,2017,"TO USE BASEBALL AND SOFTBALL AS VEHICLES TO FOSTER POSITIVE CHARACTER DEVELOPMENT, ACADEMIC ACHIEVEMENT,AND IMPROVED HEALTH AMONG YOUTH FROM UNDERSERVED COMMUNITIES IN D.C.",17,17,0,350,0,1217270,1460105,0,0,323,32287,46886,1249557,1507314,0,0,0,623643,1013335,0,212197,2206256,2290944,2829899,3304279,-1580342,-1796965,19161114,17003737,1746016,1450160,17415098,15553577
Higher Achievement,2017,"PROVIDE AFTER SCHOOL AND SUMMER ACADEMIC ENRICHMENT IN UNDERSERVED AREAS OF DC, VA, PA & MD.",16,16,292,500,0,8735237,10979904,0,299,143,53580,134107,8789116,11114154,0,0,0,4972071,6480636,0,851094,2621500,3593057,7593571,10073693,1195545,1040461,8198373,9254723,1936878,1956859,6261495,7297864
Hung Tao Choy Mei Leadership Institute,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11204,-8852
Joy of Motion Dance Center,2017,JOY OF MOTION DANCE CENTER (JOMDC) AIMS TO PROVIDE THE HIGHEST QUALITY DANCE EDUCATION AND PERFORMANCE EXPERIENCES THAT REINFORCE THE PRINCIPLE THAT THE ART OF DANCE IS FOR EVERYONE. JOY OF MOTION DANCE CENTER TEACHES AND ENCOURAGES PEOPLE OF ALL AGES TO INTEGRATE DANCE INTO THEIR LIVES FOR BETTER INDIVIDUAL AND COMMUNITY HEALTH AND WELL-BEING.,12,12,38,80,0,345633,281596,2579985,1596,1527,4767,6462,2619214,2869570,41697,62762,0,815783,896372,0,120520,1919693,1876481,2777173,2835615,-157959,33955,716033,881457,578532,710001,137501,171456
