,AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,CitiWide Computer Training Center,2018,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,2,HEADERFILL-NULL,0,288491,237821,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,288491,237821,HEADERFILL-NULL,0,0,85619,25091,0,0,251825,191490,337444,216581,-48953,21240,176457,178594,113148,94045,63309,84549
0,CitiWide Computer Training Center,2017,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,7,2,0,434627,288491,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,434627,288491,HEADERFILL-NULL,0,0,168356,85619,0,500,250253,251824,418609,337443,16018,-48952,185054,176457,72793,113148,112261,63309
0,CitiWide Computer Training Center,2015,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,7,HEADERFILL-NULL,0,HEADERFILL-NULL,433969,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,HEADERFILL-NULL,433969,HEADERFILL-NULL,0,0,HEADERFILL-NULL,165012,0,0,HEADERFILL-NULL,283634,HEADERFILL-NULL,448646,HEADERFILL-NULL,-14677,194772,173000,49773,42678,144999,130322
0,City Gate,2018,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,0,HEADERFILL-NULL,0,HEADERFILL-NULL,HEADERFILL-NULL
0,City Gate,2017,"THE MISSION PROVIDES A RESIDENT SHELTER FOR MEN RELEASED FROM PRISON. THERE ARE TWO PHASES (1) 30 DAY, 17 BED PROGRAM AND (2) 3 PERSON PRIVATE ROOM PROGRAM. THE ORGANIZATION ALSO PROVIDES IN-HOUSE AND OUT-REACH CHRISTIAN MINISTRIES,IN PARTICULAR, TO CHESTER COUNTY PRISON AND SESTU JUVENILE DETENTION CENTER.",4,4,13,HEADERFILL-NULL,0,374662,266158,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,374662,266158,2850,0,0,178544,183434,0,2467,120452,104973,301846,288407,72816,-22249,332078,309507,3058,2736,329020,306771
0,City Gate,2017,"THE MISSION PROVIDES A RESIDENT SHELTER FOR MEN RELEASED FROM PRISON. THERE ARE TWO PHASES (1) 30 DAY, 17 BED PROGRAM AND (2) 3 PERSON PRIVATE ROOM PROGRAM. THE ORGANIZATION ALSO PROVIDES IN-HOUSE AND OUT-REACH CHRISTIAN MINISTRIES,IN PARTICULAR, TO CHESTER COUNTY PRISON AND SESTU JUVENILE DETENTION CENTER.",4,4,13,HEADERFILL-NULL,0,374662,266158,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,374662,266158,2850,0,0,178544,183434,0,2467,120452,104973,301846,288407,72816,-22249,332078,309507,3058,2736,329020,306771
0,City Gate,2016,"THE MISSION PROVIDES A RESIDENT SHELTER FOR MEN RELEASED FROM PRISON. THERE ARE TWO PHASES (1) 30 DAY, 17 BED PROGRAM AND (2) 3 PERSON PRIVATE ROOM PROGRAM. THE ORGANIZATION ALSO PROVIDES IN-HOUSE AND OUT-REACH CHRISTIAN MINISTRIES,IN PARTICULAR, TO CHESTER COUNTY PRISON AND SESTU JUVENILE DETENTION CENTER.",4,4,14,HEADERFILL-NULL,0,303759,374662,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,303759,374662,HEADERFILL-NULL,2850,0,181327,178544,0,2065,123823,120452,305150,301846,-1391,72816,259207,332078,3003,3058,256204,329020
0,City Gate,2016,"THE MISSION PROVIDES A RESIDENT SHELTER FOR MEN RELEASED FROM PRISON. THERE ARE TWO PHASES (1) 30 DAY, 17 BED PROGRAM AND (2) 3 PERSON PRIVATE ROOM PROGRAM. THE ORGANIZATION ALSO PROVIDES IN-HOUSE AND OUT-REACH CHRISTIAN MINISTRIES,IN PARTICULAR, TO CHESTER COUNTY PRISON AND SESTU JUVENILE DETENTION CENTER.",4,4,14,HEADERFILL-NULL,0,303759,374662,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,303759,374662,HEADERFILL-NULL,2850,0,181327,178544,0,2065,123823,120452,305150,301846,-1391,72816,259207,332078,3003,3058,256204,329020
0,City Gate,2015,"THE MISSION PROVIDES A RESIDENT SHELTER FOR MEN RELEASED FROM PRISON. THERE ARE TWO PHASES (1) 30 DAY, 17 BED PROGRAM AND (2) 3 PERSON PRIVATE ROOM PROGRAM. THE ORGANIZATION ALSO PROVIDES IN-HOUSE AND OUT-REACH CHRISTIAN MINISTRIES,IN PARTICULAR, TO CHESTER COUNTY PRISON AND SESTU JUVENILE DETENTION CENTER.",4,4,13,HEADERFILL-NULL,0,288720,303759,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,288720,303759,HEADERFILL-NULL,0,0,184265,181327,0,1033,130492,123823,314757,305150,-26037,-1391,260600,259207,3005,3003,257595,256204
0,City Gate,2015,"THE MISSION PROVIDES A RESIDENT SHELTER FOR MEN RELEASED FROM PRISON. THERE ARE TWO PHASES (1) 30 DAY, 17 BED PROGRAM AND (2) 3 PERSON PRIVATE ROOM PROGRAM. THE ORGANIZATION ALSO PROVIDES IN-HOUSE AND OUT-REACH CHRISTIAN MINISTRIES,IN PARTICULAR, TO CHESTER COUNTY PRISON AND SESTU JUVENILE DETENTION CENTER.",4,4,13,HEADERFILL-NULL,0,288720,303759,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,288720,303759,HEADERFILL-NULL,0,0,184265,181327,0,1033,130492,123823,314757,305150,-26037,-1391,260600,259207,3005,3003,257595,256204
0,CityDance,2018,"CITYDANCE IS AN ARTS AND EDUCATION LEADER THROUGHOUT THE DC METROPOLITAN AREA. WITH ITS MISSION TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE, CITYDANCE PRODUCES AND PRESENTS WORLD-CLASS DANCE; TRAINS YOUNG DANCERS FOR PROFESSIONAL CAREERS; AND (CONTINUED ON SCHEDULE O)",15,15,36,19,0,1775717,1395722,1919424,HEADERFILL-NULL,0,HEADERFILL-NULL,0,3654511,3315146,HEADERFILL-NULL,0,0,1280831,1355127,0,208107,1603265,1679049,2884096,3034176,770415,280970,1528599,1851951,227418,269800,1301181,1582151
0,CityDance,2017,"CITYDANCE HAS A MISSION TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE AND FULFILLS THIS MISSION THROUGH THREE CORE PROGRAM OFFERINGS: CITYDANCE PRESENTS - PRODUCING AND PRESENTING PROFESSIONAL DANCE AT PRESTIGIOUS PERFORMANCE VENUES THROUGHOUT THE DC METROPOLITAN REGION; CITYDANCE SCHOOL & CONSERVATORY - TRAINING YOUNG DANCERS FOR PROFESSIONAL CAREERS AT ITS THREE DANCE CENTERS IN MARYLAND AND DC ; AND CITYDANCE DREAM - USING DANCE TO PREPARE YOUTH FROM DC'S LOW-INCOME COMMUNITIES FOR ACADEMIC, PROFESSIONAL AND PERSONAL SUCCESS.",14,14,28,14,0,778706,1775717,1878794,HEADERFILL-NULL,0,HEADERFILL-NULL,0,2261320,3654511,HEADERFILL-NULL,0,0,989589,1280831,0,229740,1130842,1603265,2120431,2884096,140889,770415,590654,1528599,59888,227418,530766,1301181
0,CityDance,2016,"CITYDANCE IS A NON-PROFIT ORGANIZATION RECOGNIZED AS AN ARTS AND EDUCATION LEADER IN THE DC METROPOLITAN AREA WHOSE MISSION IS TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE. CITYDANCE TRAINS YOUNG DANCERS FOR PROFESSIONAL CAREERS; PRESENTS NATIONALLY RECOGNIZED DANCE COMPANIES ON WASHINGTON'S MAJOR STAGES; AND USES DANCE TO EQUIP YOUTH WITH THE SKILLS NEEDED TO SUCCEED IN SCHOOL, CAREER AND LIFE.",12,12,23,50,0,631692,778706,1482614,HEADERFILL-NULL,0,HEADERFILL-NULL,0,1961940,2261320,HEADERFILL-NULL,0,0,897108,989589,0,163831,991340,1130842,1888448,2120431,73492,140889,417015,590654,27138,59888,389877,530766
0,CityDance,2015,"CITYDANCE IS A RECOGNIZED ARTS AND EDUCATION LEADER IN OUR NATION'S CAPITAL. FOUNDED IN 1996, CITYDANCE'S MISSION IS TO BRING THE HIGHEST- QUALITY PROFESSIONAL DANCE TO D.C. STAGES; TRAIN YOUTH FOR 21ST CENTURY DANCE CAREERS; AND PROVIDE ACCESS TO DANCE TRAINING AND PERFORMANCE TO UNDERSERVED POPULATIONS.",9,9,24,50,0,613803,631692,1330248,HEADERFILL-NULL,0,HEADERFILL-NULL,0,1880714,1961940,HEADERFILL-NULL,0,0,816335,897108,0,154955,898698,991340,1715033,1888448,165681,73492,482825,417015,166440,27138,316385,389877
0,Common Threads,2018,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,14,14,32,250,0,2462820,2896588,76952,1148,559,-17158,78520,2473012,3052619,0,0,0,1886336,1871971,0,396598,1322619,971000,3208955,2842971,-735943,209648,1855681,2067429,126524,128624,1729157,1938805
0,Common Threads,2018,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,14,14,32,250,0,2462820,2896588,76952,1148,559,-17158,78520,2473012,3052619,0,0,0,1886336,1871971,0,396598,1322619,971000,3208955,2842971,-735943,209648,1855681,2067429,126524,128624,1729157,1938805
0,Common Threads,2017,"Common Threads connects kids to healthy food in the garden, in the kitchen, and at the table. We want kids to grow up making food choices that are good for their bodies, communities, and environment.",8,8,4,100,0,0,140489,59086,0,782,0,805,0,201162,0,0,0,0,0,0,0,0,150801,0,150801,0,50361,189875,244858,5033,9655,184842,235203
